"title","person","name"
"Agile Knowledge Graph testing with TESTaLOD","https://w3id.org/scholarlydata/person/fabio-mariani","Fabio Mariani"
"Benefit graph extraction from healthcare policies","https://w3id.org/scholarlydata/person/fabrizio-cucci","Fabrizio Cucci"
"The SEPSES knowledge graph: An integrated resource for cybersecurity","https://w3id.org/scholarlydata/person/fajar-ekaputra","Fajar Ekaputra"
"Semantic Technologies for the Production and Publication of Open Data in ACI - Automobile Club d’Italia","https://w3id.org/scholarlydata/person/federico-scafoglieri","Federico Scafoglieri"
"Towards the Bosch Materials Science Knowledge Base","https://w3id.org/scholarlydata/person/federico-tomazic","Federico Tomazic"
"Predicting Relations between RDF Entities by Multi-Order Interaction Neural Network","https://w3id.org/scholarlydata/person/fei-guo","Fei Guo"
"Towards the Bosch Materials Science Knowledge Base","https://w3id.org/scholarlydata/person/felix-hildebrand","Felix Hildebrand"
"Towards Semantic Integration of Bosch Manufacturing Data","https://w3id.org/scholarlydata/person/felix-loesch","Felix Loesch"
"Using Event Graph to Improve Question Answering in E-commerce Customer Service","https://w3id.org/scholarlydata/person/feng-lin-li","Feng-Lin Li"
"Open Services for Lifecycle Collaboration (OSLC) - Extending REST APIs to Connect Data","https://w3id.org/scholarlydata/person/fernando-lopez","Fernando Lopez"
"Semantically-enabled Optimization of Digital Marketing Campaigns","https://w3id.org/scholarlydata/person/fernando-perales","Fernando Perales"
"ASIA: a Tool for Assisted Semantic Interpretation and Annotation of Tabular Data","https://w3id.org/scholarlydata/person/flavio-de-paoli","Flavio De Paoli"
"Semantically-enabled Optimization of Digital Marketing Campaigns","https://w3id.org/scholarlydata/person/flavio-de-paoli","Flavio De Paoli"
"Semantic Technologies for the Production and Publication of Open Data in ACI - Automobile Club d’Italia","https://w3id.org/scholarlydata/person/flavio-pompermaier","Flavio Pompermaier"
"Knowledge Graph Fact Prediction via Knowledge-Enriched Tensor Factorization","https://w3id.org/scholarlydata/person/francis-ferraro","Francis Ferraro"
"Graph-KD: Exploring Relational Information for Knowledge Discovery","https://w3id.org/scholarlydata/person/gaurav-vashisth","Gaurav Vashisth"
"A Policy Editor for Semantic Sensor Networks","https://w3id.org/scholarlydata/person/george-konstantinidis","George Konstantinidis"
"SHACL Constraints with Inference Rules","https://w3id.org/scholarlydata/person/george-konstantinidis","George Konstantinidis"
"A Data Science Pipeline for Big Linked Earth Observation Data","https://w3id.org/scholarlydata/person/george-stamoulis","George Stamoulis"
"Extending the YAGO2 Knowledge Graph with Precise Geospatial Knowledge","https://w3id.org/scholarlydata/person/georgios-mandilaras","Georgios Mandilaras"
"Bag Semantics of DL-Lite with Functionality Axioms","https://w3id.org/scholarlydata/person/gianluca-cima","Gianluca Cima"
"Benefit graph extraction from healthcare policies","https://w3id.org/scholarlydata/person/grace-ferguson","Grace Ferguson"
